# delta=  0.8000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1272E+00
   0.2000E+00   0.3369E+00
   0.3000E+00   0.5274E+00
   0.4000E+00   0.6742E+00
   0.5000E+00   0.7707E+00
   0.6000E+00   0.8191E+00
   0.7000E+00   0.8261E+00
   0.8000E+00   0.8000E+00
   0.9000E+00   0.7496E+00
   0.1000E+01   0.6826E+00
   0.1100E+01   0.6058E+00
   0.1200E+01   0.5249E+00
   0.1300E+01   0.4438E+00
   0.1400E+01   0.3658E+00
   0.1500E+01   0.2929E+00
   0.1600E+01   0.2262E+00
   0.1700E+01   0.1665E+00
   0.1800E+01   0.1139E+00
   0.1900E+01   0.6811E-01
   0.2000E+01   0.2879E-01
   0.2100E+01  -0.4595E-02
   0.2200E+01  -0.3266E-01
   0.2300E+01  -0.5600E-01
   0.2400E+01  -0.7523E-01
   0.2500E+01  -0.9089E-01
   0.2600E+01  -0.1035E+00
   0.2700E+01  -0.1135E+00
   0.2800E+01  -0.1213E+00
   0.2900E+01  -0.1273E+00
   0.3000E+01  -0.1318E+00
   0.3100E+01  -0.1349E+00
   0.3200E+01  -0.1370E+00
   0.3300E+01  -0.1382E+00
   0.3400E+01  -0.1386E+00
   0.3500E+01  -0.1385E+00
   0.3600E+01  -0.1379E+00
   0.3700E+01  -0.1369E+00
   0.3800E+01  -0.1355E+00
   0.3900E+01  -0.1340E+00
   0.4000E+01  -0.1322E+00
   0.4100E+01  -0.1302E+00
   0.4200E+01  -0.1282E+00
   0.4300E+01  -0.1260E+00
   0.4400E+01  -0.1238E+00
   0.4500E+01  -0.1216E+00
   0.4600E+01  -0.1193E+00
   0.4700E+01  -0.1170E+00
   0.4800E+01  -0.1147E+00
   0.4900E+01  -0.1125E+00
   0.5000E+01  -0.1102E+00
   0.5100E+01  -0.1080E+00
   0.5200E+01  -0.1058E+00
   0.5300E+01  -0.1037E+00
   0.5400E+01  -0.1015E+00
   0.5500E+01  -0.9947E-01
   0.5600E+01  -0.9743E-01
   0.5700E+01  -0.9545E-01
   0.5800E+01  -0.9350E-01
   0.5900E+01  -0.9160E-01
   0.6000E+01  -0.8974E-01
   0.6100E+01  -0.8793E-01
   0.6200E+01  -0.8616E-01
   0.6300E+01  -0.8443E-01
   0.6400E+01  -0.8274E-01
   0.6500E+01  -0.8110E-01
   0.6600E+01  -0.7949E-01
   0.6700E+01  -0.7793E-01
   0.6800E+01  -0.7640E-01
   0.6900E+01  -0.7491E-01
   0.7000E+01  -0.7345E-01
   0.7100E+01  -0.7203E-01
   0.7200E+01  -0.7064E-01
   0.7300E+01  -0.6929E-01
   0.7400E+01  -0.6796E-01
   0.7500E+01  -0.6667E-01
   0.7600E+01  -0.6541E-01
   0.7700E+01  -0.6417E-01
   0.7800E+01  -0.6296E-01
   0.7900E+01  -0.6178E-01
   0.8000E+01  -0.6063E-01
   0.8100E+01  -0.5950E-01
   0.8200E+01  -0.5840E-01
   0.8300E+01  -0.5731E-01
   0.8400E+01  -0.5626E-01
   0.8500E+01  -0.5522E-01
   0.8600E+01  -0.5420E-01
   0.8700E+01  -0.5321E-01
   0.8800E+01  -0.5223E-01
   0.8900E+01  -0.5128E-01
   0.9000E+01  -0.5034E-01
   0.9100E+01  -0.4943E-01
   0.9200E+01  -0.4853E-01
   0.9300E+01  -0.4764E-01
   0.9400E+01  -0.4678E-01
   0.9500E+01  -0.4593E-01
   0.9600E+01  -0.4510E-01
   0.9700E+01  -0.4428E-01
   0.9800E+01  -0.4347E-01
   0.9900E+01  -0.4269E-01
   0.1000E+02  -0.4191E-01



