# delta=  0.0000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1346E+00
   0.2000E+00   0.4237E+00
   0.3000E+00   0.7143E+00
   0.4000E+00   0.9764E+00
   0.5000E+00   0.1192E+01
   0.6000E+00   0.1354E+01
   0.7000E+00   0.1460E+01
   0.8000E+00   0.1512E+01
   0.9000E+00   0.1516E+01
   0.1000E+01   0.1476E+01
   0.1100E+01   0.1400E+01
   0.1200E+01   0.1296E+01
   0.1300E+01   0.1169E+01
   0.1400E+01   0.1027E+01
   0.1500E+01   0.8749E+00
   0.1600E+01   0.7185E+00
   0.1700E+01   0.5622E+00
   0.1800E+01   0.4095E+00
   0.1900E+01   0.2636E+00
   0.2000E+01   0.1268E+00
   0.2100E+01   0.6816E-03
   0.2200E+01  -0.1136E+00
   0.2300E+01  -0.2153E+00
   0.2400E+01  -0.3043E+00
   0.2500E+01  -0.3807E+00
   0.2600E+01  -0.4448E+00
   0.2700E+01  -0.4973E+00
   0.2800E+01  -0.5389E+00
   0.2900E+01  -0.5705E+00
   0.3000E+01  -0.5930E+00
   0.3100E+01  -0.6074E+00
   0.3200E+01  -0.6146E+00
   0.3300E+01  -0.6155E+00
   0.3400E+01  -0.6111E+00
   0.3500E+01  -0.6021E+00
   0.3600E+01  -0.5894E+00
   0.3700E+01  -0.5737E+00
   0.3800E+01  -0.5556E+00
   0.3900E+01  -0.5356E+00
   0.4000E+01  -0.5144E+00
   0.4100E+01  -0.4923E+00
   0.4200E+01  -0.4696E+00
   0.4300E+01  -0.4468E+00
   0.4400E+01  -0.4241E+00
   0.4500E+01  -0.4017E+00
   0.4600E+01  -0.3797E+00
   0.4700E+01  -0.3584E+00
   0.4800E+01  -0.3378E+00
   0.4900E+01  -0.3180E+00
   0.5000E+01  -0.2991E+00
   0.5100E+01  -0.2811E+00
   0.5200E+01  -0.2639E+00
   0.5300E+01  -0.2477E+00
   0.5400E+01  -0.2324E+00
   0.5500E+01  -0.2180E+00
   0.5600E+01  -0.2045E+00
   0.5700E+01  -0.1918E+00
   0.5800E+01  -0.1799E+00
   0.5900E+01  -0.1688E+00
   0.6000E+01  -0.1584E+00
   0.6100E+01  -0.1487E+00
   0.6200E+01  -0.1397E+00
   0.6300E+01  -0.1312E+00
   0.6400E+01  -0.1234E+00
   0.6500E+01  -0.1160E+00
   0.6600E+01  -0.1092E+00
   0.6700E+01  -0.1028E+00
   0.6800E+01  -0.9692E-01
   0.6900E+01  -0.9140E-01
   0.7000E+01  -0.8626E-01
   0.7100E+01  -0.8146E-01
   0.7200E+01  -0.7698E-01
   0.7300E+01  -0.7281E-01
   0.7400E+01  -0.6891E-01
   0.7500E+01  -0.6526E-01
   0.7600E+01  -0.6185E-01
   0.7700E+01  -0.5867E-01
   0.7800E+01  -0.5568E-01
   0.7900E+01  -0.5289E-01
   0.8000E+01  -0.5027E-01
   0.8100E+01  -0.4781E-01
   0.8200E+01  -0.4550E-01
   0.8300E+01  -0.4333E-01
   0.8400E+01  -0.4129E-01
   0.8500E+01  -0.3937E-01
   0.8600E+01  -0.3756E-01
   0.8700E+01  -0.3585E-01
   0.8800E+01  -0.3424E-01
   0.8900E+01  -0.3272E-01
   0.9000E+01  -0.3129E-01
   0.9100E+01  -0.2993E-01
   0.9200E+01  -0.2865E-01
   0.9300E+01  -0.2744E-01
   0.9400E+01  -0.2629E-01
   0.9500E+01  -0.2520E-01
   0.9600E+01  -0.2416E-01
   0.9700E+01  -0.2318E-01
   0.9800E+01  -0.2225E-01
   0.9900E+01  -0.2136E-01
   0.1000E+02  -0.2052E-01



# delta=  0.1000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1347E+00
   0.2000E+00   0.4217E+00
   0.3000E+00   0.7098E+00
   0.4000E+00   0.9691E+00
   0.5000E+00   0.1182E+01
   0.6000E+00   0.1341E+01
   0.7000E+00   0.1444E+01
   0.8000E+00   0.1495E+01
   0.9000E+00   0.1496E+01
   0.1000E+01   0.1456E+01
   0.1100E+01   0.1381E+01
   0.1200E+01   0.1277E+01
   0.1300E+01   0.1151E+01
   0.1400E+01   0.1011E+01
   0.1500E+01   0.8616E+00
   0.1600E+01   0.7080E+00
   0.1700E+01   0.5547E+00
   0.1800E+01   0.4052E+00
   0.1900E+01   0.2625E+00
   0.2000E+01   0.1287E+00
   0.2100E+01   0.5429E-02
   0.2200E+01  -0.1062E+00
   0.2300E+01  -0.2056E+00
   0.2400E+01  -0.2927E+00
   0.2500E+01  -0.3674E+00
   0.2600E+01  -0.4304E+00
   0.2700E+01  -0.4820E+00
   0.2800E+01  -0.5231E+00
   0.2900E+01  -0.5545E+00
   0.3000E+01  -0.5771E+00
   0.3100E+01  -0.5918E+00
   0.3200E+01  -0.5995E+00
   0.3300E+01  -0.6012E+00
   0.3400E+01  -0.5976E+00
   0.3500E+01  -0.5896E+00
